INSTRUMENTAL SOCIETY OF CALGARY, 844-598-1273, volunteers@instrumentalsociety.ca, www.instrumentalsociety.ca, St.Stephen'sAnglicanChurch1121-14thAvenueSWCalgaryABT2R0P3 
HomeSpace Society, 587-320-1545, volunteer@homespace.org, , Suite1000,5405AveSWCalgaryABT2P0M2 
Horizon Housing Society, 403-305-9913, jayneo@horizonhousing.ab.ca, www.horizonhousing.ab.ca, 1150035StSE#1000CalgaryABT2Z3W4 
Humanity's Promise Int'l, 403-926-5646, john@humanityspromise.com, humanityspromise.com, 20WestCallawayPlaceCochraneABT4C1L7 
HIV Community Link, 403-508-2536, JKroschinsky@hivcl.org, http://www.hivcl.org/volunteer/, 110–160310AveSW,CalgaryABT3C0J7 
Hope in the Dark, 780-278-7509, danielle.canas@hopeinthedark.ca, www.hopeinthedark.ca, 15SkyviewPointlinkNECalgaryABT3N0L7 
Northern Hills Community Association, 403-226-6422, info@nhca.ca, http://www.nhca.ca/, 11950CountryVillageLinkNortheastNorthernHillsCalgaryABT3K6E3 
Inside Out Theatre, 403-797-1119, kirk@insideouttheatre.com, http://www.insideouttheatre.com/, VariousplacesthroughoutCalgaryMostlytheatresCalgaryABT2T1G6 
Hospice Calgary Society, 403-284-5195, marie.wong@hospicecalgary.ca, http://www.hospicecalgary.ca/, 9207AStNWCalgaryABT2M3J3 
The Immigrant Education Society (TIES), 403-235-3666, priscillalee@immigrant-education.ca, https://www.immigrant-education.ca, 1723-40St.SECalgaryABT2A7Y3 
Hope Mission, 403-474-3237, calgary.community@hopemission.com, www.hopemission.com, 4869HubaltaRoadSECalgaryABT2B1T5 
Huntington Society Southern Alberta Chapter, 403-404-4166, hdcalgary@gmail.com, https://southernalbertahd.ca/?fbclid=IwAR1LhWMtpRIVUweaq9EGVkAQu3rdiWOs8_EqCmp4V0Qja4npw_XS0KTW3ik, 36022StreetNWCalgaryABT2K0Y2 
Hull Services, 403-238-7967, mboston@hullservices.ca, www.hullservices.ca, 2266WoodparkAveSWCalgaryABT2W2Z8 
Immigrant Services Calgary, 403-538-8355, tyzena@immigrantservicescalgary.ca, www.immigrantservicescalgary.ca, 1200-9107AveSWCalgaryABT2P3N8 
Humanity in Practice, 403-201-5488, hip@shaw.ca, http://www.behip.ca, FromwhereyouareCalgaryABT2V4P3 
Independent Living Resource Centre of Calgary, 403-263-6880, ed@ilrcc.ab.ca, www.ilrcc.ab.ca, 134,335927StreetNECalgaryABT1Y5E4 
Inn From the Cold Society, 403-473-5582, volunteer@innfromthecold.org, www.innfromthecold.org, 110,11AveSECalgaryABT2G0X5 
In-Definite Arts Society, 403-253-3174, karly.mortimer@ouriac.ca, www.ouriac.ca, 8038FairmountDr.SECalgaryABT2H0Y1 
Independent Living Resource Centre Calgary, 403-263-6880, PEP@ilrcc.ab.ca, https://www.ilrcc.ab.ca/, #134,3359-27StreetNECalgaryABT1Y5E4 
Imagine Cities, 647-297-9276, talent@imaginecities.com, www.imaginecities.com, 4447AveSWCalgaryABT2P0X8 
Intercare Corporate Group-Southwood Care Centre, 403-255-4969, kmerkowsky@intercarecorpgroup.com, www.intercarealberta.com, 505-5920MacleodTrailSWCalgaryABT2H0K0 
Irish Cultural Society of Calgary, 403-288-8641, calgaryics@gmail.com, https://www.calgaryics.org, IrishCulturalSociety645235AveNWCalgaryABT3B1S6 
IntegralOrg, 888-315-0933, learn@integralorg.ca, https://integralorg.ca/, #802,5920MacleodTrailSWCalgaryABT2H0K2 
Jamie's Preschool, 403-831-2164, admin@jamiespreschool.ca, www.jamiespreschool.ca, 3303CapitolHillCrescentNWCalgaryABT2M2R2 
