Eastside Victory Outreach Church, 403-273-1050, mkmdkruger@gmail.com, https://www.victoryoutreach.ca/, 184038St.SECalgaryABT2B0Z3 
Extendicare, 403-249-8915, bmcgregor@extendicare.com, , ExtendicareCedarsVilla-3330-8AvenueSW,Calgary,AlbertaT3C0E7ExtendicareHillcrest-1512-8AvenueNW,Calgary,AlbertaT2N1C1CalgaryABT3C0E7 
The Educational Partnership Foundation, 403-457-5822, Cleo.Howe@tepf.ca, https://tepf.ca/, 60211AveSWSuite412CalgaryABT2R1J8 
Edge School Foundation, 403-710-4212, dsilver@edgeschool.com, edgeschool.com, 33055TownshipRd250CalgaryABT3Z1L4 
FAMILIES OF ALBERTA FOR CONDUCTIVE EDUCATION (FACE), 587-830-3223, admin@conductive-education.ca, www.facealberta.ca, #1612512thStreetSECALGARYABT2H2K1 
Elbow River Watershed Partnership, 403-268-4520, coordinator@erwp.org, www.erwp.org, SpringGardens,BuildingDCalgaryABT2P2M5 
Festival Chorus, 587-434-9300, president@thefestivalchorus.com, www.thefestivalchorus.com, ArtsCommons2058AveSECalgaryABT2G0K9 
Fairview Community Association, 403-252-5424, office@fairviewcommunity.ca, https://fairviewcommunity.ca, Box78053RPOHeritageCalgaryABT2H2Y1 
EducationMatters, 403-817-7468, info@educationmatters.ca, https://www.educationmatters.ca, 12218StSWCalgaryABT2R0L4 
Epilepsy Association of Calgary, 403-230-2764, kathyf@epilepsycalgary.com, www.epilepsycalgary.com, 3164014MacleodTrailS.E.CalgaryABT2G2R7 
Empowering Minds , 403-718-1264, volunteers@empoweringminds.org, empoweringminds.org, 60PanatellaRiseNWCalgaryABT3K0H2 
Eugene Costs Enrichment Society, 403-463-1988, ECSEnrichmentSociety@gmail.com, http://school.cbe.ab.ca/school/eugenecoste/Pages/default.aspx, 10HillgroveCresecentSWCalgaryABT2V3K7 
Fig Tree Foundation, 000-000-0000, hr1@figtreefoundation.com, www.figtreefoundation.com, Suite400,11914thStreetNWCalgaryABT2N1Z6 
Esker Foundation, 403-930-2492, mkerluke@eskerfoundation.com, www.eskerfoundation.com, 444,1011-9thAveSECalgaryABT2G0H7 
Elder Statesmen Group, 403-265-4492, ESGManager@outlook.com, www.ElderStatesmenGroup.com, 7171AveSWCalgaryABT2P3B5 
Famous 5 Foundation, 403-253-1927, volunteer@famous5.ca, http://www.famou5.ca/, BOX72137,RPOGlenmoreLandingCalgaryABT2V5H9 
EMS Foundation, 587-432-2050, emsftreasurer@gmail.com, www.emsfoundation.ca, 370535StNECalgaryABT1Y6C2 
Elbow Park Resident's Association, 403-680-2392, margo@coppus.ca, elbow park.com, 80034AveSWCalgaryABT2T2A3 
Elements Calgary Mental Health Centre, 403-266-8711, info@elementscmhc.ca, www.elementscmhc.ca, ElementsCalgaryMentalHealthCentre10357AvenueSWCalgaryABT2P3E9 
Elizabeth Fry Society of Calgary, The, 587-391-0141, courtvolunteer@elizabethfrycalgary.ca, http://elizabethfrycalgary.ca/get-involved/, 1731–10AvenueSWCalgaryABT3C0K1 
Families Matter Society, 403-205-5178, Reception@familiesmatter.ca, http://familiesmatter.ca/, #158,1440-52StreetNECalgaryABT2A4T8 
Energy For All, 403-630-1395, roselyn@energyforall.ca, www.energyforall.ca, #600,5405thAvenueSWCalgaryABT2P0M2 
Ferret Rescue & Education Society (FRES), 403-567-3737, volunteers@ferrets.ca, www.ferrets.ca, ContactusfordetailsCalgaryABT2A4T8 
Evict Radon, 403-836-2635, info@evictradon.org, www.evictradon.org, 3230HospitalDrNWCalgaryABT2N4Z6 
