Gold Mind Project, 403-589-3593, anca.m.dan@gmail.com, http://goldmindproject.com, Suite2000,1259thAvenueSE.CalgaryABT2G0P6 
Girls Hockey Calgary Association, 403-278-9223, admin@girlshockeycalgary.com, www.girlshockeycalgary.com, 299ErinWoodsDriveS.E.CalgaryABT2B2V9 
Hangar Flight Museum (formerly Aero Space Museum Association of Calgary), 403-250-3752, volunteer@thehangarmuseum.ca, http://www.thehangarmuseum.ca/, 4629McCallWayNECalgaryABT2E8A5 
Green Calgary, 403-230-1443, lex@greencalgary.org, http://www.greencalgary.org/, #100,301-14thSt.NWCalgaryABT2N2A1 
Heart and Stroke Foundation of Alberta & NWT, 403-351-7037, sarah.stephens@heartandstroke.ca, http://www.heartandstroke.ca, 11914thStreetNWCalgaryABT2N1Z6 
Hakili Community for Sustainable Development, 403-690-8061, info@hakiliworld.org, http://www.hakiliworld.org, 22312AveSWCalgaryABT2R0G9 
Hidden Valley Community Association, 403-275-9394, volunteers@albertasciencenetwork.ca, www.hiddenhut.org, 10504HiddenValleyDrCalgaryABT3A4Z2 
Heart & Stroke Foundation, 403-351-7073, alison.planche@heartandstroke.ca, heartandstroke.ca/help, 11914StNWSuite100CalgaryABT2N1Z6 
Heart & Stroke Foundation Calgary Office, 403-351-7071, justin.leeson@heartandstroke.ca, www.heartandstroke.ca, 100-11914thStreetNWCalgaryABT2N1Z6 
Gymtastics Play-it-Forward Projects, 403-275-2660, contact@playitforward.ca, http://www.playitforward.ca, Suite166,7260-12StSECalgaryABT2H2S5 
Helping Families Handle Cancer Foundation, 403-850-5477, carie@helpingfamilieshandlecancer.com, www.helpingfamilieshandlecancer.com, POBox91052,1258888CountryHillsBlvdNWCalgaryABT3G5T0 
Heart and Solar, 403-464-2084, rslaney@heartandsolar.ca, heartandsolar.ca, 105310StreetSWCalgaryABT2R1S6 
Habitat for Humanity Southern Alberta, 403-253-9331, volunteer@habitatsouthernab.ca, www.habitatsouthernab.ca, Opportunitiesinvariouslocationsoffice:210,805ManningRdNECalgaryABT2E7M8 
HELP Bolivia Foundation, 403-607-1879, info@helpbolivia.org, https://helpbolivia.org/, 20MonarchGateAirdrieABT4A1W7 
Grace Presbyterian Church, 403-244-5861, cindys@gracecalgary.org, https://gracechurchcalgary.com/, 100915thAvenueSWCalgaryABT2R0S5 
Helping Hands Society of Cochrane & Area, 587-580-9448, programsmanager@helpinghandscochrane.ca, www.helpinghandscochrane.ca, 2092ndAveWestCochraneABT4C1B1 
Good Companions 50 Plus Club, 403-249-6991, gc50plus@gmail.com, www.gc50plus.org, 260919AVESWCALGARYABT3E0E9 
Hands at Work in Africa (Canada) Society, 408-808-7767, kristal@ca.handsatwork.org, www.handsatwork.org, 42518StreetNWCalgaryABT2N2G6 
Highbanks Society, 403-521-0082, info@highbankssociety.ca, http://highbankssociety.ca/, 317–19thSt.NWCalgaryABT2N2J2 
Glenbow Museum, 403-268-4105, volunteer@glenbow.org, http://www.glenbow.org, 1309AveSECalgaryABT2G0P3 
Grey Dog Foundation, 403-519-5000, grant@greydogfoundation.com, www.greydogfoundation.com, Suite202,58192ndStreetSWCalgaryABT2H0H3 
Heritage Park Historical Village, 403-268-8610, volunteer@heritagepark.ca, http://www.heritagepark.ca/join-our-team.html, 1900HeritageDriveSWCalgaryABT2V2X3 
Hillhurst - Sunnyside Community Association, 403-283-0554, sarah.h@hsca.ca, www.hsca.ca, 13205AvenueNWCalgaryABT2N0S2 
Highland Park Community Association, 403-276-6969, vicepresident@highlandparkcommunity.ca, www.highlandparkcommunity.ca, 3716-2ndStreetNWCalgaryABT2K0Y4 
