Bow Valley High School Cheer, 587-777-3694, bvhscheerleading@gmail.com, , 2000RiverHeightsDriveCochraneABT4C1Y8 
Boys & Girls Club of Cochrane & Area, 403-981-2020, akelly@bgccochrane.ca, www.bgccochrane.ca, 111-5thAveWestCochraneABT4C1B5 
Bowness Community Association, 403-288-8300, volunteer@mybowness.com, http://www.mybowness.com, 790443AveNWCalgaryABT3B4P9 
Buckingjam Music Foundation, 403-836-0001, buckingjampalace@gmail.com, Www.buckingjampalace.com, 21018thStreet,S.W.CalgaryABT2T2Z7 
Buds in Bloom | Bourgeons en Éclat, 000-000-0000, info@BudsinBloom.org, www.BudsinBloom.org, 600-5920MacLeodTrailSouthWestc/oBudsinBloomCalgaryABT2H0K2 
Brown Bagging for Calgary's Kids, 587-222-3885, rebecca@bb4ck.org, bb4ck.org, 433MacleodTrailSECALGARYABT2G5J7 
CADS Calgary, 403-589-1211, volunteer@cadscalgary.ca, www.cadscalgary.ca, WinSportSkiHill-CanadaOlympicPark88CanadaOlympicRdCalgaryABT3B5R5 
Bridges Social Development (Canada Bridges), 587-429-0457, omar@canadabridges.com, www.canadabridges.com, TricoChangemakerStudiosMountRoyalUniversityCalgaryABT3E6K6 
Byrnes House, an Employment and Life Solutions Society., 403-700-1159, sara@thebyrneshouse.com, www.thebyrneshouse.com, LocationtobegivenattimeofopportunityCalgaryABT2A7V9 
Breast Cancer Supportive Care Foundation, 403-270-2158, info@bcscf.com, www.bcscf.com, 414,301-14StreetNWCalgaryABT2N2A1 
Calgary Aging In Place , 403-774-7247, info@calgaryaginginplace.ca, www.calgaryaginginplace.ca, POBox78014,383HeritageDriveSECalgaryABT2H2Y1 
Boys and Girls Clubs of Calgary, 403-998-0474, mbankey@bgcc.ab.ca, https://www.boysandgirlsclubsofcalgary.ca, BoysandGirlsClubsofCalgary73113AveNECalgaryABT2E1C8 
BowWest Community Resource Centre, 403-874-6809, germaine@bowwest.org, www.bowwest.org, 141840RanchlandsWayNW790443rdAvenueNWCalgaryABT3G1R4 
Bow Habitat Station Volunteer Society, 403-297-6561, bhs.volunteer@gov.ab.ca, http://bowhabitat.alberta.ca/visit/volunteer.aspx, BowHabitatStation144017AStreetSECalgaryABT2G4T9 
Brenda Strafford Foundation, 403-444-7218, bvm.volunteer@straffordfoundation.org, www.straffordfoundation.org, 4628MontgomeryBlvdCalgaryABT3B0K7 
Bridgeland/Riverside Community Association (Calgary Tool Library), 403-453-2167, toollibrary@brcacalgary.org, https://calgarytoollibrary.org/, 917CentreAveNECalgaryABT2A0C6 
Calgary and Area Child Advocacy Centre, 403-428-5377, cjennings@calgarycac.ca, https://calgarycac.ca, 400,3820–24AvenueNWCalgaryABT3B2X9 
Buffalo Rubbing Stone Parent Association, 403-831-9652, brsvolunteer@outlook.com, , 1308PanatellaBlvd.NWCalgaryABT3K0X2 
Calgary Alpha House Society, 403-831-7829, david@alphahousecalgary.com, www.alphahousecalgary.com, 203-15AveSECalgaryABT2G1G4 
Brenda Strafford Society for the Prevention of Domestic Violence, 403-270-7240, s.hawthorne@brendastraffordsociety.org, https://brendastraffordsociety.com/volunteer-opportunities/, Box61141CalgaryABT2N4S6 
Boys and Girls Club of Cochrane, 403-981-2020, nhume@BGCCOCHRANE.ca, https://www.bgccochrane.ca/home, P.OBox1554,1115thAveWestCochraneABT4C1B5 
Calgary (Alberta) Neuropathy Association, 403-668-9777, info@calgaryneuropathy.com, CalgaryNeuropathy.com, 451NorthmountDr.NWCalgaryABT2K3H8 
Bow View Manor (Div. of Brenda Strafford Foundation), 403-444-7218, bvm.VOLUNTEER@thebsf.ca, www.thebsf.ca, 4628MontgomeryBlvdNWCALGARYABT3B0K7 
Calgary Apraxia Parent Exchange, 403-288-7645, natasha@calgaryapraxia.ca, www.CalgaryApraxia.ca, CalgaryCalgaryABT3A2B2 
